eco,name,pgn,uci,epd,gambit_name,eco_gambit_name
A46,"Torre Attack: Classical Defense, Petrosian Gambit",1. d4 Nf6 2. Nf3 e6 3. Bg5 c5 4. e3 b6 5. d5,d2d4 g8f6 g1f3 e7e6 c1g5 c7c5 e2e3 b7b6 d4d5,rnbqkb1r/p2p1ppp/1p2pn2/2pP2B1/8/4PN2/PPP2PPP/RN1QKB1R b KQkq -,Petrosian Gambit,A46 Petrosian Gambit
A46,Torre Attack: Wagner Gambit,1. d4 Nf6 2. Nf3 e6 3. Bg5 c5 4. e4,d2d4 g8f6 g1f3 e7e6 c1g5 c7c5 e2e4,rnbqkb1r/pp1p1ppp/4pn2/2p3B1/3PP3/5N2/PPP2PPP/RN1QKB1R b KQkq -,Wagner Gambit,A46 Wagner Gambit
A47,Indian Defense: Schnepper Gambit,1. d4 Nf6 2. Nf3 b6 3. c3 e5,d2d4 g8f6 g1f3 b7b6 c2c3 e7e5,rnbqkb1r/p1pp1ppp/1p3n2/4p3/3P4/2P2N2/PP2PPPP/RNBQKB1R w KQkq -,Schnepper Gambit,A47 Schnepper Gambit
A50,Indian Defense: Medusa Gambit,1. d4 Nf6 2. c4 g5,d2d4 g8f6 c2c4 g7g5,rnbqkb1r/pppppp1p/5n2/6p1/2PP4/8/PP2PPPP/RNBQKBNR w KQkq -,Medusa Gambit,A50 Medusa Gambit
A50,Indian Defense: Pyrenees Gambit,1. d4 Nf6 2. c4 b5,d2d4 g8f6 c2c4 b7b5,rnbqkb1r/p1pppppp/5n2/1p6/2PP4/8/PP2PPPP/RNBQKBNR w KQkq -,Pyrenees Gambit,A50 Pyrenees Gambit
A50,Mexican Defense: Horsefly Gambit,1. d4 Nf6 2. c4 Nc6 3. d5 Ne5 4. f4,d2d4 g8f6 c2c4 b8c6 d4d5 c6e5 f2f4,r1bqkb1r/pppppppp/5n2/3Pn3/2P2P2/8/PP2P1PP/RNBQKBNR b KQkq -,Horsefly Gambit,A50 Horsefly Gambit
A51,Indian Defense: Budapest Defense,1. d4 Nf6 2. c4 e5,d2d4 g8f6 c2c4 e7e5,rnbqkb1r/pppp1ppp/5n2/4p3/2PP4/8/PP2PPPP/RNBQKBNR w KQkq -,Budapest Defense,A51 Budapest Defense
A51,"Indian Defense: Budapest Defense, Fajarowicz Defense, Bonsdorf Variation",1. d4 Nf6 2. c4 e5 3. dxe5 Ne4 4. a3 b6,d2d4 g8f6 c2c4 e7e5 d4e5 f6e4 a2a3 b7b6,rnbqkb1r/p1pp1ppp/1p6/4P3/2P1n3/P7/1P2PPPP/RNBQKBNR w KQkq -,Budapest Defense,A51 Budapest Defense
A51,"Indian Defense: Budapest Defense, Fajarowicz Variation",1. d4 Nf6 2. c4 e5 3. dxe5 Ne4,d2d4 g8f6 c2c4 e7e5 d4e5 f6e4,rnbqkb1r/pppp1ppp/8/4P3/2P1n3/8/PP2PPPP/RNBQKBNR w KQkq -,Budapest Defense,A51 Budapest Defense
A51,"Indian Defense: Budapest Defense, Fajarowicz-Steiner Variation",1. d4 Nf6 2. c4 e5 3. dxe5 Ne4 4. Qc2,d2d4 g8f6 c2c4 e7e5 d4e5 f6e4 d1c2,rnbqkb1r/pppp1ppp/8/4P3/2P1n3/8/PPQ1PPPP/RNB1KBNR b KQkq -,Budapest Defense,A51 Budapest Defense
